ofi_insc;prov_insc;cant_insc;parr_insc;anio_insc;mes_insc;dia_insc;fecha_insc;anio_div;mes_div;dia_div;fecha_div;anio_mat;mes_mat;dia_mat;fecha_mat;mcapbie;dur_mat;cau_div;nac_hom;cod_paish;anio_nach;mes_nach;dia_nach;fecha_nach;edad_hom;hijos_hom;p_etnica_hom;sabe_leerh;niv_insth;prov_habh;cant_habh;parr_habh;area_hom;nac_muj;cod_paism;anio_nacm;mes_nacm;dia_nacm;fecha_nacm;edad_muj;hijos_muj;p_etnica_muj;sabe_leerm;niv_instm;prov_habm;cant_habm;parr_habm;area_muj
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;26;1/26/2016;2015;Agosto;28;8/28/2015;2003;Marzo;17;3/17/2003;No;12;1;Ecuatoriano;EC;1981;4;25;4/25/1981;34;0;Mestizo;Si;Primaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1979;8;10;08/10/1979;36;0;Mestiza;Si;Secundaria;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Octubre;31;10/31/2016;2015;Agosto;19;8/19/2015;2011;Enero;25;1/25/2011;No;5;1;Ecuatoriano;EC;1987;2;7;02/07/1987;29;0;Mestizo;Si;Secundaria;El Oro;Arenillas;Arenillas, cabecera cantonal;Urbana;Ecuatoriana;EC;1993;7;3;07/03/1993;23;1;Mestiza;Si;Se ignora;Loja;Loja;San Sebastian;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Diciembre;12;12/12/2016;2015;Agosto;6;08/06/2015;2014;Octubre;24;10/24/2014;No;2;1;Ecuatoriano;EC;1991;6;26;6/26/1991;25;0;Mestizo;Si;Primaria;Loja;Loja;Sucre;Urbana;Ecuatoriana;EC;1993;1;25;1/25/1993;23;0;Mestiza;Si;Primaria;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Agosto;31;8/31/2016;2015;Agosto;26;8/26/2015;2012;Enero;18;1/18/2012;Se ignora;4;1;Ecuatoriano;EC;1992;7;24;7/24/1992;24;0;Mestizo;Si;Secundaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1992;1;13;1/13/1992;24;2;Mestiza;Si;Superior;Loja;Loja;San Sebastian;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Junio;20;6/20/2016;2015;Diciembre;24;12/24/2015;1992;Septiembre;30;9/30/1992;No;23;1;Extranjero;ZZ;1970;1;1;01/01/1970;46;1;Mestizo;Si;Primaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1977;1;2;01/02/1977;39;3;Mestiza;Si;Primaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;27;1/27/2016;2015;Diciembre;18;12/18/2015;1955;Septiembre;1;09/01/1955;No;60;10;Ecuatoriano;EC;1938;11;17;11/17/1938;77;0;Ignorado;Se ignora;Se ignora;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1940;3;27;3/27/1940;75;1;Blanca;Si;Primaria;El Oro;Huaquillas;Huaquillas, cabecera cantonal;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;5;01/05/2016;2015;Diciembre;11;12/11/2015;1974;Agosto;30;8/30/1974;No;41;10;Ecuatoriano;EC;1955;4;11;04/11/1955;60;0;Mestizo;Si;Primaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1959;10;21;10/21/1959;56;0;Mestiza;Si;Secundaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Marzo;8;03/08/2016;2015;Diciembre;1;12/01/2015;1988;Diciembre;2;12/02/1988;Se ignora;27;10;Ecuatoriano;EC;1964;10;2;10/02/1964;51;0;Mestizo;Si;Superior;Loja;Loja;San Sebastian;Urbana;Ecuatoriana;EC;1966;3;16;3/16/1966;49;0;Mestiza;Si;Secundaria;Loja;Loja;San Sebastian;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Febrero;4;02/04/2016;2015;Diciembre;22;12/22/2015;1989;Octubre;17;10/17/1989;No;26;1;Ecuatoriano;EC;1960;5;27;5/27/1960;55;0;Mestizo;Si;Secundaria;Loja;Loja;Valle;Urbana;Ecuatoriana;EC;1967;3;20;3/20/1967;48;0;Mestiza;Si;Primaria;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Febrero;17;2/17/2016;2015;Diciembre;1;12/01/2015;2000;Mayo;10;05/10/2000;No;15;1;Ecuatoriano;EC;1972;1;10;01/10/1972;44;0;Mestizo;Si;Primaria;Loja;Loja;San Sebastian;Urbana;Ecuatoriana;EC;1971;5;21;5/21/1971;44;0;Mestiza;Si;Primaria;Loja;Loja;Vilcabamba  (Victoria);Rural
